asin,title,authors,percentageRead,resourceType,originType,mangaOrComicAsin,webReaderUrl,productUrl
B00R32ZP0I,A Court of Thorns and Roses: Enter the EPIC fantasy worlds of Sarah J Maas with the breath-taking first book in the GLOBALLY BESTSELLING ACOTAR series,"Maas, Sarah J.:",0,EBOOK,PURCHASE,false,https://read.amazon.com/?asin=B00R32ZP0I,https://m.media-amazon.com/images/I/51ySvu5eCxL._SY400_.jpg
B01D3WHZZO,Empire of Storms: From the # 1 Sunday Times best-selling author of A Court of Thorns and Roses (Throne of Glass Book 5),"Maas, Sarah J.:",0,EBOOK,PURCHASE,false,https://read.amazon.com/?asin=B01D3WHZZO,https://m.media-amazon.com/images/I/516r04AGUOL._SY400_.jpg
B01N01V56U,Tower of Dawn: From the # 1 Sunday Times best-selling author of A Court of Thorns and Roses (Throne of Glass Book 6),"Maas, Sarah J.:",0,EBOOK,PURCHASE,false,https://read.amazon.com/?asin=B01N01V56U,https://m.media-amazon.com/images/I/4161+fSNvxL._SY400_.jpg
B079VM5L3H,Kingdom of Ash: From the # 1 Sunday Times best-selling author of A Court of Thorns and Roses (Throne of Glass Book 7),"Maas, Sarah J.:",0,EBOOK,PURCHASE,false,https://read.amazon.com/?asin=B079VM5L3H,https://m.media-amazon.com/images/I/51C1KF2xaXL._SY400_.jpg
B00TYFGYAM,Queen of Shadows: From the # 1 Sunday Times best-selling author of A Court of Thorns and Roses (Throne of Glass Book 4),"Maas, Sarah J.:",0,EBOOK,PURCHASE,false,https://read.amazon.com/?asin=B00TYFGYAM,https://m.media-amazon.com/images/I/415EayJkeCL._SY400_.jpg
B00JGAD0N4,Heir of Fire: From the # 1 Sunday Times best-selling author of A Court of Thorns and Roses (Throne of Glass Book 3),"Maas, Sarah J.:",0,EBOOK,PURCHASE,false,https://read.amazon.com/?asin=B00JGAD0N4,https://m.media-amazon.com/images/I/41zsUgfpkyL._SY400_.jpg
B00BLL68EO,Crown of Midnight: From the # 1 Sunday Times best-selling author of A Court of Thorns and Roses (Throne of Glass Book 2),"Maas, Sarah J.:",0,EBOOK,PURCHASE,false,https://read.amazon.com/?asin=B00BLL68EO,https://m.media-amazon.com/images/I/4177diRelxL._SY400_.jpg
B008BJ3RP2,Throne of Glass: From the # 1 Sunday Times best-selling author of A Court of Thorns and Roses,"Maas, Sarah J.:",0,EBOOK,PURCHASE,false,https://read.amazon.com/?asin=B008BJ3RP2,https://m.media-amazon.com/images/I/41Xz8rwep9L._SY400_.jpg
B06Y1423HD,Jade City: THE WORLD FANTASY AWARD WINNER,"Lee, Fonda",0,EBOOK,PURCHASE,false,https://read.amazon.com/?asin=B06Y1423HD,https://m.media-amazon.com/images/I/51DUeeQxl4L._SY400_.jpg
B07P8QFG5X,Jade War,"Lee, Fonda",0,EBOOK,PURCHASE,false,https://read.amazon.com/?asin=B07P8QFG5X,https://m.media-amazon.com/images/I/41gMIIfkYoL._SY400_.jpg
